({'sheep_polar_coor_r': 0, 'sheep_polar_coor_theta': 0, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.5707963267948966, -687.09194972446, {'sheep_polar_coor_r': 14.0, 'sheep_polar_coor_theta': 4.71238898038469, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 14.0, 'sheep_polar_coor_theta': 4.71238898038469, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 3.141592653589793, -700.0, {'sheep_polar_coor_r': 1.7145055188062944e-15, 'sheep_polar_coor_theta': 3.141592653589793, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 1.7145055188062944e-15, 'sheep_polar_coor_theta': 3.141592653589793, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.108551025390625, -693.7555247475784, {'sheep_polar_coor_r': 13.999999999999998, 'sheep_polar_coor_theta': 5.316226935378754, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 13.999999999999998, 'sheep_polar_coor_theta': 5.316226935378754, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 3.745430608583858, -699.6012554884649, {'sheep_polar_coor_r': 8.325882057870691, 'sheep_polar_coor_theta': 0.3019189774970325, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 8.325882057870691, 'sheep_polar_coor_theta': 0.3019189774970325, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.8727153042919298, -693.7555247475783, {'sheep_polar_coor_r': 13.99999999999999, 'sheep_polar_coor_theta': 5.3162269353787535, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 13.99999999999999, 'sheep_polar_coor_theta': 5.3162269353787535, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 3.745430608583856, -699.6012554884647, {'sheep_polar_coor_r': 8.325882057870663, 'sheep_polar_coor_theta': 0.3019189774970333, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 8.325882057870663, 'sheep_polar_coor_theta': 0.3019189774970333, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.8727153042919298, -693.7555247475783, {'sheep_polar_coor_r': 13.999999999999982, 'sheep_polar_coor_theta': 5.316226935378753, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 13.999999999999982, 'sheep_polar_coor_theta': 5.316226935378753, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 3.745430608583856, -699.6012554884647, {'sheep_polar_coor_r': 8.32588205787066, 'sheep_polar_coor_theta': 0.3019189774970334, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 8.32588205787066, 'sheep_polar_coor_theta': 0.3019189774970334, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.8727153042919298, -693.7555247475783, {'sheep_polar_coor_r': 13.99999999999998, 'sheep_polar_coor_theta': 5.316226935378753, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 13.99999999999998, 'sheep_polar_coor_theta': 5.316226935378753, 'dog_theta': 3.174870379824329, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 3.745430608583856, -699.6012554884647, {'sheep_polar_coor_r': 8.32588205787066, 'sheep_polar_coor_theta': 0.30191897749703367, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 8.32588205787066, 'sheep_polar_coor_theta': 0.30191897749703367, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.4315558969974518, -699.9192736936376, {'sheep_polar_coor_r': 21.84195995335081, 'sheep_polar_coor_theta': 0.03049135619615539, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
